"","X","OCCUPATION","X2014.TOTAL.EMPLOYED","X2014.UNION.MEMBER.TOTAL","X2014.UNION.MEMBER.PCT","X2014.UNION.REPR.TOTAL","X2014.UNION.REPR.PCT","X2015.TOTAL.EMPLOYED","X2015.UNION.MEMBER.TOTAL","X2015.UNION.MEMBER.PCT","X2015.UNION.REPR.TOTAL","X2015.UNION.REPR.PCT","OCC_CODE"
"45",45,"Publishing, except Internet","581","21",3.6,"22",3.8,"495","19",3.9,"22",4.4,45
"46",46,"Motion pictures and sound recording industries","347","25",7.3,"29",8.2,"314","37",11.7,"40",12.8,46
"47",47,"Radio and television broadcasting and cable subscription programming","569","40",7,"43",7.6,"561","37",6.7,"48",8.5,47
"48",48,"Telecommunications","915","135",14.8,"151",16.5,"883","118",13.3,"131",14.8,48
"49",49,"Financial activities","8,481","169",2,"200",2.4,"8,781","208",2.4,"242",2.8,49
"50",50,"Finance and insurance","6,409","92",1.4,"112",1.8,"6,550","103",1.6,"129",2,50
"51",51,"Finance","4,039","53",1.3,"63",1.6,"4,126","53",1.3,"70",1.7,51
"52",52,"Insurance","2,370","39",1.6,"49",2.1,"2,424","51",2.1,"59",2.4,52
"53",53,"Real estate and rental and leasing","2,071","77",3.7,"88",4.2,"2,231","105",4.7,"113",5.1,53
"54",54,"Professional and business services","13,300","309",2.3,"389",2.9,"13,738","348",2.5,"458",3.3,54
"55",55,"Professional and technical services","8,045","109",1.4,"157",2,"8,327","142",1.7,"218",2.6,55
"56",56,"Management, administrative, and waste services","5,254","199",3.8,"232",4.4,"5,411","206",3.8,"240",4.4,56
"57",57,"Education and health services","21,147","1,728",8.2,"2,003",9.5,"21,572","1,867",8.7,"2,132",9.9,57
"58",58,"Educational services","4,338","508",11.7,"599",13.8,"4,551","625",13.7,"720",15.8,58
"59",59,"Health care and social assistance","16,809","1,220",7.3,"1,404",8.4,"17,021","1,242",7.3,"1,412",8.3,59
"60",60,"Leisure and hospitality","11,997","387",3.2,"454",3.8,"12,357","389",3.1,"449",3.6,60
"61",61,"Arts, entertainment, and recreation","2,166","140",6.5,"158",7.3,"2,250","144",6.4,"158",7,61
"62",62,"Accommodation and food services","9,831","247",2.5,"296",3,"10,107","245",2.4,"291",2.9,62
"63",63,"Accommodation","1,455","130",8.9,"143",9.8,"1,575","116",7.4,"127",8,63
"64",64,"Food services and drinking places","8,377","117",1.4,"153",1.8,"8,532","129",1.5,"165",1.9,64
"65",65,"Other services(3)","5,821","171",2.9,"193",3.3,"5,867","177",3,"227",3.9,65
"66",66,"Other services, except private households","5,026","157",3.1,"178",3.5,"5,055","166",3.3,"205",4.1,66
"67",67,"Public sector","20,203","7,218",35.7,"7,927",39.2,"20,591","7,241",35.2,"8,031",39,67
"68",68,"Federal government","3,408","939",27.5,"1,078",31.6,"3,591","979",27.3,"1,160",32.3,68
"69",69,"State government","6,264","1,867",29.8,"2,056",32.8,"6,875","2,079",30.2,"2,312",33.6,69
"70",70,"Local government","10,532","4,412",41.9,"4,793",45.5,"10,126","4,183",41.3,"4,559",45,70
