"","X","OCCUPATION","X2014.TOTAL","X2014.UNION.MEMBER","X2014.UNION.REPR","X2014.NON.UNION","X2015.TOTAL","X2015.UNION.MEMBER","X2015.UNION.REPR","X2015.NON.UNION","OCC_CODE"
"33",35,"Mining, quarrying, and oil and gas extraction","1,136","1,150","1,176","1,130","1,162","Ð","1,170","1,162",33
"34",36,"Construction","775","1,123","1,108","724","784","1,099","1,093","743",34
"35",37,"Manufacturing","812","861","854","807","839","876","868","833",35
"36",38,"Durable goods","840","888","886","833","872","889","881","871",36
"37",39,"Nondurable goods","765","808","795","761","776","849","841","768",37
"38",40,"Wholesale and retail trade","641","669","670","638","653","673","671","652",38
"39",41,"Wholesale trade","818","772","773","821","841","876","863","840",39
"40",42,"Retail trade","602","641","643","600","610","621","622","609",40
"41",43,"Transportation and utilities","826","1,011","1,009","785","843","1,007","1,003","803",41
"42",44,"Transportation and warehousing","780","947","947","748","790","980","977","754",42
"43",45,"Utilities","1,156","1,275","1,283","1,078","1,133","1,194","1,188","1,116",43
"44",46,"Information(4)","1,040","1,115","1,090","1,029","1,102","1,260","1,242","1,077",44
"45",47,"Publishing, except Internet","1,068","Ð","Ð","1,081","1,098","Ð","Ð","1,102",45
"46",48,"Motion pictures and sound recording industries","1,021","Ð","Ð","993","996","Ð","Ð","935",46
"47",49,"Radio and television broadcasting and cable subscription programming","902","Ð","Ð","879","980","Ð","Ð","968",47
"48",50,"Telecommunications","1,145","1,143","1,114","1,151","1,162","1,212","1,208","1,148",48
"49",51,"Financial activities","941","879","884","942","964","915","924","964",49
"50",52,"Finance and insurance","989","880","893","991","1,024","983","1,004","1,024",50
"51",53,"Finance","1,012","862","889","1,014","1,061","923","1,082","1,060",51
"52",54,"Insurance","959","Ð","Ð","960","973","988","981","973",52
"53",55,"Real estate and rental and leasing","768","876","869","762","782","891","893","772",53
"54",56,"Professional and business services","915","805","851","918","951","874","906","953",54
"55",57,"Professional and technical services","1,199","1,081","1,145","1,203","1,256","1,297","1,268","1,255",55
"56",58,"Management, administrative, and waste services","580","743","735","575","605","684","672","603",56
"57",59,"Education and health services","777","926","925","763","787","962","946","768",57
"58",60,"Educational services","902","967","978","879","918","1,025","1,015","896",58
"59",61,"Health care and social assistance","750","893","886","740","754","916","904","742",59
"60",62,"Leisure and hospitality","505","636","624","500","515","606","592","511",60
"61",63,"Arts, entertainment, and recreation","650","688","683","642","657","672","680","655",61
"62",64,"Accommodation and food services","481","602","591","478","492","579","558","489",62
"63",65,"Accommodation","544","639","639","522","546","645","639","532",63
"64",66,"Food services and drinking places","465","496","485","465","480","492","490","480",64
"65",67,"Other services(4)","644","871","843","636","684","903","879","677",65
"66",68,"Other services, except private households","671","887","865","662","710","916","900","703",66
"67",69,"Public sector","927","1,014","1,014","850","944","1,029","1,023","878",67
"68",70,"Federal government","1,103","1,050","1,072","1,136","1,113","1,058","1,064","1,159",68
"69",71,"State government","886","967","966","821","909","988","982","867",69
"70",72,"Local government","899","1,026","1,020","780","914","1,043","1,033","783",70
